Account Key,Effective Date,Ownership Key,Credit-Debit Indicator,Trial Balance Value
10100,01/01/2020,1,Credit,1.34E+11
10200,01/01/2020,1,Credit,1318740934
10300,01/01/2020,1,Credit,899104746.5
20100,01/01/2020,1,Debit,72482754393
20200,01/01/2020,1,Debit,23170095474
20300,01/01/2020,1,Debit,7839891143
20400,01/01/2020,1,Debit,36361446733
20500,01/01/2020,1,Debit,1003165654
20600,01/01/2020,1,Debit,929098036
20700,01/01/2020,1,Debit,915180840.7
20800,01/01/2020,1,Debit,20644519802
30100,01/01/2020,1,Credit,4288192229
10100,01/01/2021,1,Credit,2.19E+11
10200,01/01/2021,1,Credit,5069678719
10300,01/01/2021,1,Credit,1811829749
20100,01/01/2021,1,Debit,1.18E+11
20200,01/01/2021,1,Debit,28146331045
20300,01/01/2021,1,Debit,7291137758
20400,01/01/2021,1,Debit,16296977574
20500,01/01/2021,1,Debit,823261632
20600,01/01/2021,1,Debit,613931350.4
20700,01/01/2021,1,Debit,739685736
20800,01/01/2021,1,Debit,23323933486
30100,01/01/2021,1,Debit,6113459649
10100,01/01/2022,1,Credit,3.13E+11
10200,01/01/2022,1,Credit,9099762898
10300,01/01/2022,1,Credit,2777483627
20100,01/01/2022,1,Debit,1.82E+11
20200,01/01/2022,1,Debit,32587148886
20300,01/01/2022,1,Debit,7720605224
20400,01/01/2022,1,Debit,19083861125
20500,01/01/2022,1,Debit,773991871.4
20600,01/01/2022,1,Debit,382629827.6
20700,01/01/2022,1,Debit,618031783.2
20800,01/01/2022,1,Debit,21622593188
30100,01/01/2022,1,Debit,15235180492
10110,01/01/2020,0,Credit,5131955502
10210,01/01/2020,0,Credit,50166143.2
10310,01/01/2020,0,Credit,35507317.74
20110,01/01/2020,0,Debit,2722845607
20210,01/01/2020,0,Debit,881412178.4
20310,01/01/2020,0,Debit,294508856.8
20410,01/01/2020,0,Debit,1315960099
20510,01/01/2020,0,Debit,37219107.2
20610,01/01/2020,0,Debit,35338238.55
20710,01/01/2020,0,Debit,33121385.16
20810,01/01/2020,0,Debit,747147507.8
30110,01/01/2020,0,Credit,163126856.8
10110,01/01/2021,0,Credit,5234143097
10210,01/01/2021,0,Credit,122781281.2
10310,01/01/2021,0,Credit,43880251.5
20110,01/01/2021,0,Debit,2898525065
20210,01/01/2021,0,Debit,664627231.3
20310,01/01/2021,0,Debit,181109992.8
20410,01/01/2021,0,Debit,399565172
20510,01/01/2021,0,Debit,19439908.8
20610,01/01/2021,0,Debit,14682791.48
20710,01/01/2021,0,Debit,17466407.4
20810,01/01/2021,0,Debit,557726178.4
30110,01/01/2021,0,Debit,148060351.3
10110,01/01/2022,0,Credit,9921417588
10210,01/01/2022,0,Credit,292582538.4
10310,01/01/2022,0,Credit,90406294.4
20110,01/01/2022,0,Debit,5990067216
20210,01/01/2022,0,Debit,1073961114
20310,01/01/2022,0,Debit,254444776.1
20410,01/01/2022,0,Debit,628938875
20510,01/01/2022,0,Debit,26489210.49
20610,01/01/2022,0,Debit,12148824.61
20710,01/01/2022,0,Debit,19859011.38
20810,01/01/2022,0,Debit,694791641.7
30110,01/01/2022,0,Debit,508536681.2
