Date,Fiscal Year,Fiscal Quarter,Fiscal Period,Fiscal Year-Quarter,Fiscal Year-Period,Fiscal Year Sort,Fiscal Quarter Sort,Fiscal Period Sort,Fiscal Year-Quarter Sort,Fiscal Year-Period Sort
01-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
02-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
03-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
04-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
05-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
06-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
07-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
08-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
09-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
10-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
11-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
12-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
13-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
14-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
15-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
16-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
17-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
18-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
19-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
20-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
21-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
22-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
23-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
24-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
25-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
26-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
27-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
28-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
29-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
30-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
31-Jan-20,2020,Q1,P1,2020-Q1,2020-P1,3,1,12,12,36
01-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
02-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
03-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
04-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
05-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
06-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
07-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
08-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
09-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
10-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
11-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
12-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
13-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
14-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
15-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
16-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
17-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
18-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
19-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
20-Feb-20,2020,Q1,P2,2020-Q1,2020-P2,3,1,11,12,35
